id,name,class,studentId,bookingStatus,vaccinationName,vaccinationDate,vaccinationStatus
3151,Larry Smith,11G,6619,Approved,Covid-19,2025-04-25,Not Vaccinated
3152,Katherine Phillips,10A,1965,Approved,Influenza,2025-05-19,Vaccinated
3153,Danielle Johnson,9D,1921,Pending,Tetanus,2025-04-17,Vaccinated
3154,William Friedman,10A,8118,,,,
3155,Kyle Ross,12H,5939,Approved,Hepatitis B,2025-03-30,Not Vaccinated
3156,Scott Burgess,8E,6462,,,,
3157,Jamie Solomon,11B,1143,Approved,Chickenpox,2025-03-22,Vaccinated
3158,Cody Moore,12C,3372,Pending,DPT,2025-04-14,Not Vaccinated
3159,Jason Lewis,10F,6783,Pending,Tetanus,2025-04-22,Not Vaccinated
3160,Nicholas Flores,12H,7211,Pending,HPV,2025-04-17,Not Vaccinated
3161,Gregory Baldwin,11G,1090,Pending,Polio,2025-03-29,Vaccinated
3162,Cassandra Washington,11B,8270,,,,
3163,Jonathan Wallace,10A,4120,Approved,HPV,2025-04-04,Vaccinated
3164,Thomas Trevino,9D,4869,Pending,Covid-19,2025-04-05,Not Vaccinated
3165,Nancy Walker,11B,9178,Approved,Tetanus,2025-04-13,Vaccinated
3166,Susan Lynn,11G,4805,,,,
3167,Jason Gordon,9D,5994,Pending,MMR,2025-03-26,Vaccinated
3168,Dustin Martinez,11B,7706,Approved,HPV,2025-04-28,Vaccinated
3169,Becky Humphrey,12C,6582,Approved,Covid-19,2025-04-20,Vaccinated
3170,Richard Morse,10F,4912,Pending,Covid-19,2025-03-24,Not Vaccinated
3171,Jacob Haynes,10F,5059,Approved,Flu,2025-04-09,Not Vaccinated
3172,Kevin Hanson,11B,9029,,,,
3173,Mary Roberts,12H,5524,Pending,Influenza,2025-04-18,Not Vaccinated
3174,Makayla Jackson,8E,4922,Approved,Flu,2025-03-24,Vaccinated
3175,Lauren Mccall,11B,8465,Pending,Polio,2025-05-12,Not Vaccinated
3176,Michael Miller,12C,3059,Pending,Polio,2025-05-10,Not Vaccinated
3177,Kathleen Walker,12C,9667,Pending,Chickenpox,2025-05-01,Vaccinated
3178,Tabitha Maldonado,10F,8467,,,,
3179,Pam Smith,12C,6872,,,,
3180,Veronica Freeman,10F,9830,Pending,Tetanus,2025-04-06,Not Vaccinated
3181,Shelia Romero,11G,1821,Pending,Flu,2025-04-30,Vaccinated
3182,Donna Fuller,8E,3488,Approved,Polio,2025-03-30,Vaccinated
3183,Dean Jordan,11B,3267,Pending,Influenza,2025-04-20,Vaccinated
3184,Donna Clark,10F,5756,,,,
3185,Dr. Zoe Allen MD,12H,1348,Pending,Covid-19,2025-04-02,Vaccinated
3186,Ryan Green,11B,2040,Approved,Covid-19,2025-03-25,Vaccinated
3187,Bryan Hancock,11G,3725,,,,
3188,Robert Blanchard,11G,7926,Approved,Typhoid,2025-05-12,Not Vaccinated
3189,Ricky Barnes,12H,6639,Pending,Covid-19,2025-05-09,Vaccinated
3190,Stephanie Jones,12C,9653,,,,
3191,Brent Thompson,11G,3143,,,,
3192,Alyssa Johnson,12C,5469,Approved,Tetanus,2025-05-06,Not Vaccinated
3193,James Watkins,8E,3793,Approved,Typhoid,2025-05-08,Vaccinated
3194,Wyatt Nguyen,8E,8713,Approved,MMR,2025-05-03,Vaccinated
3195,Christine Cunningham,9D,6329,Approved,DPT,2025-04-12,Vaccinated
3196,Rebecca Williams,10F,8522,Approved,Hepatitis B,2025-05-13,Vaccinated
3197,Douglas Crawford,8E,4787,Approved,DPT,2025-03-26,Not Vaccinated
3198,Steven Dougherty,12H,7036,,,,
3199,Melissa Morales,10A,4737,,,,
3200,Kimberly Martinez,12C,7028,Approved,Typhoid,2025-03-28,Not Vaccinated
3201,Jesse Fritz,12C,4699,Pending,Chickenpox,2025-05-01,Vaccinated
3202,Mitchell Cooper,12H,4773,,,,
3203,Christina Robinson,12C,8103,Pending,HPV,2025-05-13,Vaccinated
3204,Phillip Mcmahon,8E,9508,,,,
3205,Taylor White,9D,7373,Approved,Flu,2025-05-17,Vaccinated
3206,Ryan Silva,8E,5413,Approved,Influenza,2025-04-14,Vaccinated
3207,Zachary Thomas,10F,9770,Pending,DPT,2025-04-15,Not Vaccinated
3208,Christina Davis,12H,6494,Approved,Tetanus,2025-04-15,Not Vaccinated
3209,Benjamin Anderson,10A,1004,,,,
3210,Chris Smith,11G,7035,Approved,Chickenpox,2025-04-10,Vaccinated
3211,Spencer Newman,10F,3348,Approved,Flu,2025-05-06,Vaccinated
3212,Daniel Taylor,9D,5384,,,,
3213,Jordan Rocha,10F,6276,Approved,Influenza,2025-05-11,Not Vaccinated
3214,Andrew Jones,11G,3985,,,,
3215,Michael Hubbard,10A,1028,Approved,Typhoid,2025-03-28,Vaccinated
3216,Michael Meyers,8E,6253,,,,
3217,Brenda Mason,10F,9156,Approved,DPT,2025-04-08,Not Vaccinated
3218,Michelle King,12C,4867,Approved,Covid-19,2025-04-08,Not Vaccinated
3219,Bryan Robertson,11B,8247,,,,
3220,Latasha Green,8E,8130,Pending,Polio,2025-04-09,Vaccinated
3221,John Maxwell,8E,2357,Approved,Hepatitis B,2025-04-08,Vaccinated
3222,Tanya Waters,8E,5887,Pending,Typhoid,2025-04-21,Not Vaccinated
3223,Andrew Moran,9D,3914,,,,
3224,Ian Thompson,11G,7219,Pending,Tetanus,2025-05-05,Vaccinated
3225,Andrea Stephens,9D,5308,,,,
3226,Taylor Arnold,9D,9416,Pending,DPT,2025-03-27,Vaccinated
3227,Zachary Short,9D,7242,Pending,Influenza,2025-05-02,Not Vaccinated
3228,Laura Long,11B,3000,Approved,Hepatitis B,2025-03-26,Vaccinated
3229,Paul King,9D,4857,Pending,MMR,2025-04-22,Vaccinated
3230,Randy Brennan,12H,5909,,,,
3231,Ana Howard,11G,7383,Approved,MMR,2025-04-03,Not Vaccinated
3232,Chloe Osborn,12H,7307,,,,
3233,Thomas Carter,10F,9776,Pending,Covid-19,2025-05-05,Not Vaccinated
3234,Daniel Matthews,8E,1283,Pending,Tetanus,2025-05-01,Vaccinated
3235,Jeffrey Jacobs,9D,1406,Pending,DPT,2025-05-11,Vaccinated
3236,Nicole Hall,11G,7540,Approved,Tetanus,2025-04-27,Not Vaccinated
3237,Natalie Trujillo,12C,4886,Pending,Flu,2025-05-15,Vaccinated
3238,Matthew Walter,12C,7900,Approved,Chickenpox,2025-04-07,Not Vaccinated
3239,Ashley Moses,10A,3282,Pending,Typhoid,2025-04-08,Vaccinated
3240,Travis Morales,10F,9527,Pending,Typhoid,2025-05-10,Not Vaccinated
3241,Michael Miller,12C,3952,Pending,DPT,2025-04-30,Not Vaccinated
3242,Mr. Nathaniel Short,12H,9726,Approved,HPV,2025-03-30,Vaccinated
3243,Richard Castro,9D,3124,Pending,Polio,2025-05-03,Not Vaccinated
3244,Amanda Stokes DVM,10F,9961,Approved,HPV,2025-04-01,Not Vaccinated
3245,Charlene White,10A,7566,,,,
3246,Marissa Delgado,11G,7332,,,,
3247,Abigail Morrison,12C,2252,Pending,Flu,2025-04-04,Vaccinated
3248,Christopher Clark,12C,8655,Pending,MMR,2025-04-07,Not Vaccinated
3249,Amanda Roberson,12H,4442,Approved,HPV,2025-04-01,Not Vaccinated
3250,Frank Walker,9D,8274,,,,
3251,Dawn Hale,11B,7947,Approved,MMR,2025-04-09,Vaccinated
3252,Christopher Vincent,12H,2054,Approved,DPT,2025-04-19,Not Vaccinated
3253,Jeffrey Savage,12C,4816,Pending,Covid-19,2025-05-01,Vaccinated
3254,Kevin Wilson,8E,4612,Pending,Hepatitis B,2025-04-22,Not Vaccinated
3255,Joshua Durham,11G,2306,Approved,HPV,2025-03-28,Vaccinated
3256,Victor Collins,10F,4640,Pending,Influenza,2025-04-04,Vaccinated
3257,Austin Ibarra,11G,1093,,,,
3258,Angela Perez,12H,8316,Pending,Polio,2025-03-25,Not Vaccinated
3259,Sean Anderson,10A,7433,Approved,Tetanus,2025-04-27,Not Vaccinated
3260,Denise Eaton,10F,5244,Pending,Hepatitis B,2025-05-05,Not Vaccinated
3261,Tonya Jones,11G,7633,Pending,Hepatitis B,2025-05-15,Not Vaccinated
3262,Steven Jacobs,11G,5516,Approved,Influenza,2025-05-11,Vaccinated
3263,Penny Delacruz,10A,5350,,,,
3264,Becky Tran,9D,7995,Approved,Typhoid,2025-05-06,Vaccinated
3265,Jake Ward,11B,1896,Approved,DPT,2025-04-28,Vaccinated
3266,Rachel Singleton,12H,1317,,,,
3267,James Clark,8E,1591,Approved,Hepatitis B,2025-04-20,Vaccinated
3268,Bill Perez,10A,2172,Pending,Flu,2025-03-30,Vaccinated
3269,Matthew Jimenez,11G,2529,,,,
3270,Rebecca Robertson,11B,1253,,,,
3271,Michael Torres,9D,2938,Pending,Influenza,2025-03-27,Not Vaccinated
3272,Jamie Navarro,12C,4509,Pending,Flu,2025-04-03,Not Vaccinated
3273,Danny Greene,9D,2500,Approved,Hepatitis B,2025-05-12,Vaccinated
3274,Kathryn Shields,10F,5269,Approved,MMR,2025-04-14,Not Vaccinated
3275,Barry Brown,10F,8413,,,,
3276,Tracy Hall,11B,9921,Approved,Covid-19,2025-04-18,Vaccinated
3277,Troy York,10F,9767,,,,
3278,Scott Wong,12H,5736,Approved,Influenza,2025-05-11,Vaccinated
3279,Amber Carson,8E,1555,Pending,Tetanus,2025-05-01,Not Vaccinated
3280,Jesse Davis,8E,5235,,,,
3281,Amanda Ferguson,10F,6572,,,,
3282,Melissa Stephenson,8E,8505,Approved,Polio,2025-05-12,Vaccinated
3283,James Lopez,9D,2383,Approved,Covid-19,2025-05-04,Vaccinated
3284,Christian Gonzalez,10A,6768,,,,
3285,David Lewis,9D,1633,Pending,Chickenpox,2025-05-15,Vaccinated
3286,Katherine Nunez,10A,9745,,,,
3287,Roy Murillo,11B,5510,Pending,Covid-19,2025-05-09,Vaccinated
3288,Jennifer Sosa,11B,5281,Approved,HPV,2025-05-05,Vaccinated
3289,Renee Mitchell,11B,4339,,,,
3290,Mr. John Fleming,11G,2961,Pending,DPT,2025-03-30,Vaccinated
3291,Christian Houston,11G,2216,Approved,MMR,2025-04-07,Not Vaccinated
3292,Mary Hogan,8E,8452,,,,
3293,Miss Barbara Garcia,11B,1551,Pending,Tetanus,2025-05-02,Not Vaccinated
3294,Kathy Allen,8E,3923,,,,
3295,Katrina Johnson,10F,5328,Pending,Flu,2025-04-18,Not Vaccinated
3296,Evelyn Gonzalez,8E,4016,Approved,Influenza,2025-04-18,Vaccinated
3297,Phyllis Wright,10F,4504,Pending,Covid-19,2025-04-02,Vaccinated
3298,Heather Douglas,11B,2330,Pending,DPT,2025-05-16,Vaccinated
3299,Kevin Hawkins,10A,9226,Approved,Influenza,2025-03-24,Not Vaccinated
